name_entreprise,name_establishment,creation_date,type_way,address,city,postal_code,gender,first_name,last_name,brewery_status,created_by,last_modification_date,last_modified_by
NPDC BOISSONS,,2004-02-18,CHEMIN,DE JERUSALEM,HENIN-BEAUMONT,62110,,,,0,,,
,AU COMPTOIR DE SYLVIE,2020-11-01,RUE,DES FLEURS,MOOSCH,68690,F,SYLVIE,GANDER,0,,,
CONSEIL ET DEVELOPPEMENT COMTADIN,,2024-01-11,ROUTE,DE CARPENTRAS,BEAUMES-DE-VENISE,84190,,,,0,,,
BRASSERIE DE SAINT-OMER,,1989-10-01,RUE,EDOUARD DEVAUX,SAINT-OMER,62500,,,,0,,,
BRASSERIE DE SAINT-OMER,,1998-08-01,RUE,DES CORMETTES,SAINT-MARTIN-LEZ-TATINGHEM,62500,,,,0,,,
BRASSERIE ANGELUS,,2022-04-21,RUE,LEO LAGRANGE,DOUAI,59500,,,,0,,,
,BRASSERIE GIBAUD,2008-01-15,RUE,DE VELLOREILLE,CHOYE,70700,M,FRANCK,GIBAUD,0,,,
,,2024-06-03,RUE,SAINT-JEAN,BOEN-SUR-LIGNON,42130,M,MICHAEL,FORESTIER,0,,,
,PHILIPPE AUVERGNE,2012-05-15,ROUTE,DES THEVENETS,JARRIE,38560,M,PHILIPPE,AUVERGNE,0,,,
LA FABRIQUE DES BIERES D'ANJOU,,2004-10-01,,LA GARE,LA MENITRE,49250,,,,0,,,
BRASSERIE DES HAUTES VALLEES,,2012-03-05,,L'ADRECH,SAINT-PAUL-SUR-UBAYE,04530,,,,0,,,
LE BRASSEUR DE SERIGNAC,,2022-06-27,RUE,CHEMIN DE LOUMAREDE SERIGNAC,ORTHOUX-SERIGNAC-QUILHAN,30260,,,,0,,,
BIERES DE RE,,2014-12-01,,HAUT DES PEUX BERTAUD,SAINTE-MARIE-DE-RE,17740,,,,0,,,
BIERES DE RE,BIERES DE RE,2017-03-21,AVENUE,DE SAINTE MARIE,RIVEDOUX-PLAGE,17940,,,,0,,,
,MICRO BRASSERIE LA COLPORTEUSE,2023-06-27,HAM,DE VIDALAC,ALZEN,09240,M,JORINDA,GUILBAUD,0,,,
BRASSERIE DE LAUNAY,,2021-12-23,RUE,DES PRES JOUETTES,LAMBALLE-ARMOR,22400,,,,0,,,
SARL LES BIERES DE JEU,,2005-03-14,,LA LANDE,JEU-LES-BOIS,36120,,,,0,,,
,PHOENIXBIERE,2023-07-14,BOULEVARD,HENRI LOUBET,VITROLLES,13127,M,LUDOVIC,DENEUX,0,,,
,BRASSERIE DE RHUYS,2015-05-01,,ZA DE LANNE BORNE,SURZUR,56450,M,STEPHANE,PEDRONO,0,,,
LA BRASSERIE DU CAOU,,2005-04-15,RUE,VALENTIN DURIEZ,MERVILLE,59660,,,,0,,,
,SEVE DE FONS,2009-03-03,RUE,DU SECRETAIRE,FONS-SUR-LUSSAN,30580,M,YARON,SCHIKVA,0,,,
BRASSERIE DES SOURCES,,2005-04-01,AVENUE,DU COLLEGE,SAINT-AMAND-LES-EAUX,59230,,,,0,,,
MELUSINE,,2005-03-30,,LA BARBOIRE,CHANVERRIE,85130,,,,0,,,
,,2022-10-01,CHEMIN,DES HAJOLES,CASTAGNEDE,31260,M,DAVID,GAUDISSON,0,,,
